Store ID,Country,Product ID,Product Category,Units Sold,Date of Sale,GDP Growth Rate,Inflation Rate,Price Sold
8036,Spain,18702,Mens,11,1/24/2024,7.07,0.17,50.95
3062,Spain,45156,Womens,9,11/12/2023,4.0,3.31,78.29
2912,Germany,87467,Mens,10,9/29/2023,1.13,-1.32,53.02
2037,Spain,90575,Womens,11,10/17/2023,4.13,-1.42,13.99
2377,UK,64318,Mens,7,2/8/2024,5.2,6.18,59.6
7423,Italy,63577,Womens,7,7/27/2023,-1.41,5.39,54.44
4091,Spain,17207,Mens,6,6/1/2023,1.8,8.6,62.99
5275,Germany,92758,Womens,5,1/4/2024,-3.9,8.01,124.44
8942,Germany,11604,Mens,10,5/31/2023,-2.72,-2.18,24.61
4137,Italy,85880,Womens,6,5/23/2023,3.75,7.77,138.74
2489,Italy,64975,Mens,11,3/2/2024,-3.39,-4.34,2.45
2826,Spain,21208,Mens,9,8/24/2023,4.21,3.58,84.27
8609,Spain,49710,Womens,5,2/9/2024,0.19,8.82,55.85
2912,Italy,62912,Mens,7,1/2/2024,8.95,8.27,129.82
5295,UK,99436,Mens,6,2/3/2024,8.13,10.0,64.18
5057,UK,33545,Mens,6,12/14/2023,0.81,7.86,80.69
6806,Spain,66947,Womens,12,12/26/2023,4.25,-3.7,68.3
1711,Spain,26185,Mens,13,6/5/2023,8.18,-3.32,79.99
3756,Germany,95022,Womens,9,2/22/2024,0.12,1.03,62.53
1390,Italy,70782,Mens,6,3/17/2023,-0.35,6.1,63.17
4091,France,87150,Mens,13,12/23/2023,4.67,-4.78,40.06
8519,UK,33271,Womens,6,10/29/2023,-2.47,5.62,112.11
4055,France,58191,Womens,12,8/1/2023,9.67,-0.33,83.19
8609,Germany,94992,Mens,9,9/27/2023,-4.66,-0.44,20.39
2269,Germany,49291,Mens,13,12/18/2023,9.35,-4.25,31.8
6185,Germany,98449,Mens,9,1/30/2024,3.97,1.93,41.91
7958,Germany,64848,Mens,11,10/16/2023,-2.31,-4.65,17.63
7345,UK,43919,Womens,9,1/25/2024,6.34,2.61,62.79
3188,Italy,24488,Womens,9,10/25/2023,-1.14,1.06,28.44
3217,Italy,60444,Mens,6,7/4/2023,6.79,9.07,123.71
8372,Spain,77647,Womens,8,1/25/2024,3.65,3.97,117.5
6613,Spain,86697,Mens,5,4/21/2023,0.26,9.14,133.7
7954,Spain,88257,Womens,7,9/30/2023,-4.39,3.93,43.06
1858,Spain,18673,Mens,9,10/14/2023,9.13,5.41,66.3
5429,France,38409,Mens,11,7/27/2023,5.62,-0.2,57.02
2251,France,88373,Mens,11,9/23/2023,2.53,-1.97,18.71
3247,France,18221,Mens,7,11/12/2023,8.44,8.3,139.51
6806,UK,60452,Womens,11,9/2/2023,1.51,-2.27,8.92
6613,Spain,87992,Womens,6,11/13/2023,3.86,8.47,136.16
5465,UK,22268,Mens,8,7/13/2023,4.77,5.87,96.25
4091,France,20474,Mens,14,6/30/2023,9.14,-4.78,16.4
8734,Germany,16420,Mens,7,4/17/2023,5.19,7.53,79.01
2743,UK,40629,Womens,6,10/16/2023,5.49,9.95,111.62
8637,Germany,75295,Womens,10,8/21/2023,-2.39,-2.7,9.75
5466,UK,76739,Mens,9,8/7/2023,-0.74,1.07,45.36
9481,France,42785,Womens,7,2/28/2024,7.23,7.05,111.96
1858,Italy,13901,Mens,10,5/22/2023,2.51,0.91,40.13
4836,Spain,79934,Womens,7,12/28/2023,4.91,6.45,91.46
7718,Spain,33939,Womens,7,6/23/2023,1.24,4.74,60.17
5645,Spain,11976,Mens,7,9/26/2023,4.24,6.89,98.68
2912,Germany,75451,Mens,7,4/5/2023,9.43,8.19,55.62
8643,Spain,26378,Womens,10,1/20/2024,2.66,0.06,83.07
6086,France,19955,Mens,6,9/1/2023,3.76,7.98,95.67
8693,UK,21985,Mens,11,2/13/2024,-1.55,-2.98,82.47
9681,France,83646,Womens,10,9/28/2023,-3.28,-3.18,46.88
9167,France,69214,Mens,11,9/7/2023,8.67,-0.01,43.94
2963,Germany,31325,Mens,9,5/29/2023,7.64,3.33,101.84
5688,Spain,47946,Mens,10,3/27/2023,-1.65,-1.31,46.35
2067,France,27454,Mens,12,1/14/2024,3.77,-3.43,56.56
2304,Germany,63359,Womens,10,7/24/2023,-2.56,-1.34,82.47
7217,France,16728,Womens,9,4/26/2023,0.02,0.26,51.59
5395,Italy,17397,Mens,7,5/8/2023,-2.9,4.28,54.27
6075,UK,42703,Mens,7,3/11/2023,-1.69,5.29,109.16
3631,Italy,97150,Mens,6,3/6/2024,4.18,9.36,78.1
5466,Spain,72418,Womens,11,5/26/2023,-1.35,-2.73,27.82
2251,UK,23809,Womens,5,9/30/2023,-2.85,7.84,94.09
7954,UK,79129,Mens,10,4/23/2023,-4.13,-2.18,72.15
4142,UK,90150,Mens,9,5/28/2023,1.62,0.69,13.91
2789,France,46343,Mens,10,10/29/2023,1.79,0.57,82.73
5085,France,31148,Mens,10,3/12/2023,9.23,2.79,108.25
9738,France,54138,Womens,10,3/5/2024,-3.49,-2.46,10.15
5901,Spain,30215,Mens,4,2/21/2024,-1.77,9.81,94.04
3161,Germany,65099,Mens,11,6/11/2023,-1.56,-2.96,64.09
8272,Italy,40310,Mens,9,7/8/2023,3.1,2.45,106.29
6613,France,75080,Mens,7,2/7/2024,0.28,4.81,49.59
1134,Spain,73927,Womens,9,10/12/2023,-4.54,-1.6,52.43
5429,Spain,46669,Mens,7,5/20/2023,4.86,7.37,59.89
8875,UK,69272,Womens,9,7/8/2023,-3.07,0.77,69.08
6871,Spain,89380,Mens,9,6/19/2023,4.06,3.42,114.96
2085,France,50733,Mens,10,2/7/2024,4.73,0.02,96.46
5251,UK,21867,Mens,8,12/29/2023,-3.07,2.34,32.32
6871,Italy,90895,Womens,5,1/7/2024,1.02,8.75,100.11
3217,Germany,29066,Mens,9,8/23/2023,-4.62,-0.6,44.57
4670,Germany,86450,Womens,5,4/20/2023,-3.97,7.28,62.12
7718,Spain,58425,Womens,6,4/19/2023,-2.42,5.46,75.87
