Store ID,Country,Product ID,Product Category,Units Sold,Date of Sale,GDP Growth Rate,Inflation Rate,Price Sold
7120,Italy,49634,Womens,6,2022-01-31,-1.63,14.56,386.17
8459,Spain,80283,Mens,7,2022-12-30,-1.61,9.08,240.99
6871,Italy,85670,Mens,14,2021-05-10,11.62,-20.54,-531.77
3940,Germany,88638,Womens,15,2022-07-18,2.16,-22.38,-584.02
1034,UK,11583,Womens,9,2022-02-04,2.38,2.52,69.15
5498,Italy,11553,Womens,8,2021-12-31,2.76,7.1,191.32
3188,France,77505,Mens,11,2023-09-21,1.51,-6.65,-169.18
5275,Germany,51955,Mens,8,2021-11-10,2.88,4.78,130.59
9481,Germany,99408,Mens,12,2023-06-27,-3.72,-9.15,-238.12
4371,France,97824,Mens,10,2019-05-02,5.69,0.22,4.1
3188,Spain,63208,Mens,12,2020-04-11,0.2,-11.1,-285.74
5275,France,27321,Womens,12,2022-05-23,6.23,-10.76,-274.33
6044,UK,69949,Mens,7,2019-11-27,-4.99,8.94,230.62
7156,Spain,24488,Womens,8,2023-01-22,6.4,5.34,144.53
8372,Spain,47027,Womens,10,2019-03-29,1.27,-0.34,-6.08
1711,Spain,75355,Womens,13,2022-10-28,0.99,-13.91,-360.97
5275,Italy,94570,Womens,13,2022-01-28,-0.07,-13.67,-349.59
3933,France,50026,Mens,9,2021-05-21,6.79,1.69,59.62
1852,Spain,60228,Womens,8,2023-08-15,3.69,2.98,90.74
7420,Italy,95312,Mens,10,2019-05-11,-1.88,-4.02,-97.87
5465,UK,18989,Womens,10,2023-08-13,-5.81,-0.4,-5.49
9600,Italy,97322,Womens,10,2022-08-25,8.5,-2.46,-53.2
8372,UK,33825,Womens,9,2021-02-08,-4.82,0.73,24.23
9170,France,74822,Mens,3,2019-12-10,2.76,24.36,640.27
4137,UK,67505,Womens,9,2023-02-24,-1.85,0.5,17.7
3934,Spain,15530,Mens,9,2022-12-08,5.6,2.64,76.15
9742,UK,29341,Womens,9,2021-03-16,-0.19,2.57,70.46
6742,Italy,30227,Mens,10,2020-01-21,13.64,-3.02,-70.79
4670,UK,40451,Mens,6,2022-04-30,1.28,15.25,405.7
3247,France,97298,Womens,10,2021-08-13,-1.92,-3.43,-79.24
6142,UK,19955,Mens,7,2019-10-04,0.31,7.24,195.51
2300,UK,33271,Mens,5,2022-03-30,2.6,18.53,484.39
6984,Italy,87467,Mens,10,2020-04-04,5.29,-3.62,-92.81
2037,Italy,15413,Womens,10,2022-08-30,6.24,-2.7,-73.87
5429,UK,93875,Womens,5,2019-01-22,-1.16,18.19,479.69
6251,France,46483,Mens,5,2019-09-10,-1.02,15.34,410.78
2642,Italy,71082,Womens,6,2021-01-17,6.86,13.98,374.18
6613,Italy,14782,Mens,5,2021-05-06,-0.14,16.68,443.93
1034,UK,30438,Womens,7,2023-05-04,10.91,7.9,208.55
8099,Spain,43582,Womens,10,2020-04-19,-0.86,-3.42,-81.77
8432,Spain,87606,Womens,10,2021-12-18,-3.81,-3.19,-84.12
1567,Spain,60266,Womens,8,2020-05-25,0.18,7.34,188.3
5837,UK,60105,Mens,5,2023-09-02,0.38,18.04,476.88
9742,Spain,11755,Womens,9,2023-02-08,7.79,0.24,8.4
9976,Germany,68521,Womens,10,2020-11-30,3.73,-2.89,-70.82
5251,Spain,19020,Mens,7,2021-09-02,0.38,8.17,219.1
9384,Germany,42785,Mens,6,2023-12-12,-0.92,12.48,331.79
7634,UK,81603,Mens,9,2019-07-09,5.33,2.94,74.8
2296,UK,71069,Mens,7,2021-08-15,-2.0,11.12,295.81
1852,Germany,33409,Womens,4,2020-11-17,-3.52,21.82,572.69
3217,Italy,70725,Womens,6,2021-08-15,2.67,14.92,391.02
2067,Germany,11553,Mens,7,2020-07-16,6.89,9.28,249.19
5251,Spain,59680,Womens,12,2024-03-14,1.89,-9.29,-236.97
9481,Spain,44027,Mens,7,2023-05-10,3.3,10.6,276.2
7328,Spain,16187,Womens,7,2022-06-21,1.69,8.87,239.47
1148,UK,96778,Mens,9,2021-04-11,3.1,0.19,12.12
8733,Spain,17301,Womens,9,2023-03-09,0.58,-0.06,2.64
6184,Spain,99241,Womens,6,2022-02-28,7.44,15.15,405.96
1034,Germany,51955,Mens,8,2023-02-17,4.39,5.58,147.57
8643,France,29341,Womens,12,2024-01-17,3.24,-10.8,-277.72
4055,UK,77505,Womens,10,2020-10-08,0.02,-1.31,-22.34
2999,Italy,54482,Womens,10,2019-01-21,5.13,-3.94,-94.94
3934,Italy,31148,Mens,10,2021-04-20,-1.45,-3.09,-78.85
3161,Germany,24822,Mens,7,2019-06-16,8.36,11.04,297.86
7958,Italy,65464,Mens,11,2022-07-21,-0.32,-7.81,-196.62
5346,Germany,46693,Mens,7,2020-01-23,3.6,8.28,226.95
2963,France,15286,Mens,8,2020-08-23,2.98,7.15,191.85
1269,Spain,15030,Womens,8,2019-11-12,5.44,6.04,162.7
3934,Germany,45905,Mens,12,2019-01-14,9.53,-8.92,-228.98
5688,Spain,95910,Womens,12,2019-08-30,4.61,-12.82,-329.72
1649,Germany,61293,Mens,5,2021-02-15,-0.81,16.88,445.2
1034,Spain,72754,Womens,10,2022-10-01,5.86,-1.64,-36.02
5057,Spain,71258,Womens,3,2020-07-18,4.73,25.17,666.78
8272,Germany,70976,Mens,11,2021-06-16,4.65,-4.78,-128.36
4142,Spain,80584,Mens,7,2022-09-25,4.59,10.51,280.69
5275,Italy,15530,Womens,10,2019-04-02,-2.4,-2.06,-47.25
4866,Germany,74373,Womens,10,2022-10-22,4.86,-2.63,-67.93
8757,Italy,28499,Mens,6,2021-08-13,9.13,14.3,379.66
4371,France,94997,Womens,11,2023-01-18,-2.21,-6.98,-174.72
7634,Germany,79389,Womens,7,2022-12-22,-1.69,9.83,258.18
7345,Italy,47184,Mens,4,2020-05-23,5.91,20.79,548.21
5983,Germany,78555,Womens,9,2021-02-14,-0.05,0.57,14.7
7718,UK,97441,Womens,10,2019-02-04,3.74,-0.05,1.21
5395,Italy,51210,Womens,11,2019-07-25,1.99,-6.74,-175.94
9719,France,45164,Mens,6,2022-01-09,4.79,14.68,390.43
5085,Spain,93847,Womens,4,2023-05-05,4.75,23.54,622.78
2999,UK,58191,Mens,8,2024-03-10,1.63,6.85,188.54
4142,France,75027,Mens,8,2022-11-12,8.28,6.12,168.64
8519,Italy,89298,Womens,6,2021-10-22,3.3,12.5,327.77
8036,Germany,43984,Womens,7,2021-10-18,4.29,12.18,316.54
3161,France,86185,Womens,8,2022-11-14,-2.74,6.4,170.19
3851,Italy,67652,Womens,4,2020-07-19,-1.15,22.08,585.63
8643,Spain,10076,Womens,7,2022-02-03,-5.81,9.57,258.49
3158,France,17557,Womens,10,2023-12-01,5.21,-2.85,-71.77
6748,Spain,48372,Mens,12,2024-01-20,-0.5,-8.54,-218.4
8734,Germany,44938,Womens,5,2023-02-09,2.9,15.76,416.55
